name,lat,lon,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03
いわき市 三和支所,37.20343,140.679398,0.6127272727272728,0.2786440677966102,0.2113888888888889,0.18733333333333332,0.17451612903225808,0.17258064516129035,0.16666666666666666,0.16516129032258065,0.163,0.15806451612903227,0.15064516129032257,0.1503448275862069,0.14806451612903226
いわき市 中央台南 小学校,37.010551,140.925964,,,,0.21633333333333335,0.2,0.19580645161290325,0.191,0.18516129032258066,0.18266666666666664,0.15225806451612903,0.1496774193548387,0.15,0.14451612903225808
いわき市 勿来支所,36.883339,140.764511,0.9895652173913042,0.21101694915254235,0.12741935483870967,0.10166666666666667,0.09612903225806452,0.095,0.09416666666666668,0.09306451612903226,0.09133333333333332,0.08983870967741936,0.09193548387096774,0.09068965517241379,0.08790322580645162
いわき市 四倉支所,37.113899,140.981766,1.6780000000000002,0.44566666666666666,0.27017857142857143,0.24466666666666667,0.2170967741935484,0.22161290322580646,0.22183333333333335,0.2132258064516129,0.20800000000000002,0.2114516129032258,0.2043548387096774,0.20206896551724138,0.19370967741935483
いわき市 小名浜支所,36.944984,140.887344,0.6204166666666667,0.2140677966101695,0.14901639344262294,0.13283333333333333,0.11967741935483871,0.11903225806451613,0.11683333333333333,0.11403225806451614,0.11266666666666666,0.11,0.11274193548387097,0.1093103448275862,0.10645161290322581
いわき市 小川支所,37.123001,140.868484,1.0358333333333334,0.2649152542372881,0.17166666666666666,0.14966666666666667,0.13838709677419356,0.1338709677419355,0.13233333333333333,0.13096774193548388,0.13033333333333333,0.1264516129032258,0.12903225806451613,0.1289655172413793,0.12387096774193548
いわき市 田人支所,36.96851,140.653137,3.2456521739130437,0.6532203389830509,0.4019354838709678,0.34983333333333333,0.31709677419354837,0.30709677419354836,0.29566666666666663,0.2885483870967742,0.28300000000000003,0.26903225806451614,0.26,0.23689655172413793,0.21806451612903224
いわき市 中央台南 小学校,37.010551,140.925964,,,0.23800000000000002,,,,,,,,,,
いわき市末続 集会所,37.050453,140.887726,,,,0.4275,0.3909677419354839,0.3782258064516129,0.36633333333333334,0.36032258064516126,0.3525,0.3359677419354839,0.3487096774193549,0.3356896551724138,0.32548387096774195
ふくしま自治研修センター (福島市),37.76083,140.474747,1.3256666666666668,0.49966666666666665,0.4161290322580645,0.39266666666666666,0.37741935483870964,0.36898305084745764,0.35533333333333333,0.35129032258064513,0.34450000000000003,0.33677419354838706,0.29838709677419356,0.2556896551724138,0.26403225806451613
ビッグパレット ふくしま,37.750031,140.467773,,,,,,,0.5096296296296297,0.5279032258064517,0.525,0.49758064516129036,0.4729032258064516,0.46362068965517245,0.44387096774193546
ビッグパレットふくしま,37.750031,140.467773,1.4366666666666668,0.9756666666666667,0.7193548387096774,0.619,0.5344262295081967,0.4956451612903226,,,,,,,
三島町 役場,37.470276,139.644455,0.235,0.13766666666666666,0.12096774193548387,0.11466666666666667,0.10935483870967742,0.10612903225806451,0.105,0.10129032258064516,0.10400000000000001,0.10032258064516128,0.08645161290322581,0.08241379310344828,0.08290322580645161
三春町 役場,37.440498,140.493393,1.06,0.45099999999999996,0.3829032258064516,0.34400000000000003,0.3080645161290323,0.2843548387096774,0.2753333333333333,0.2765573770491803,0.2753333333333333,0.2674193548387097,0.2453225806451613,0.22172413793103446,0.21870967741935485
下郷町 役場,37.255554,139.872238,0.10681818181818183,0.08983333333333333,0.07725806451612903,0.0885,0.08189655172413793,0.07548387096774195,0.07233333333333333,0.06161290322580645,0.06233333333333334,0.062096774193548386,0.07596774193548388,0.06706896551724138,0.08435483870967743
中島村 役場,37.148819,140.350204,0.4320833333333334,0.2450847457627119,0.2017741935483871,0.20199999999999999,0.18306451612903224,0.17112903225806453,0.16783333333333333,0.1625806451612903,0.1595,0.15967741935483873,0.15741935483870967,0.15275862068965515,0.1511290322580645
二本松 市役所,37.584858,140.431213,5.733666666666666,1.9901666666666666,1.3496153846153847,,,,,,,,,,
二本松市 東和支所,37.533527,140.595886,2.5028571428571427,1.0103333333333333,0.6782258064516129,0.6106666666666667,0.5524193548387096,0.5174193548387096,0.4895,0.575,0.5923333333333333,0.5851612903225807,0.5459677419354839,0.5043103448275862,0.4898387096774194
二本松市田沢 集会場,37.564785,140.651398,,,,0.46,0.42677419354838714,0.4017741935483871,0.38416666666666666,0.47483870967741937,0.48833333333333334,0.48145161290322575,0.43209677419354836,0.3775862068965517,0.40096774193548385
伊達 市役所,37.819103,140.562958,3.966206896551724,1.3298333333333334,1.072741935483871,1.0466666666666666,,,,,,,,,
伊達市 下小国中央 集会場,37.817295,140.496948,,,,1.8806666666666667,1.7116129032258065,1.6071186440677965,1.5533333333333335,1.494032258064516,1.4438333333333333,1.3553225806451612,1.0208064516129032,0.8472413793103448,0.7688709677419355
伊達市小国 ふれあい センター,37.819103,140.562958,,,,2.138333333333333,1.9464516129032257,1.9410169491525424,1.8836666666666666,1.8285483870967743,1.7865,1.57,1.3629032258064515,1.2170689655172415,1.0806451612903225
伊達市月舘 相葭公民館,37.719326,140.606018,,,,2.459166666666667,2.177096774193548,2.1962711864406783,2.164,2.129032258064516,2.083,2.047258064516129,1.7870967741935484,1.5698275862068964,1.5164516129032257
伊達市霊山 パーキング,37.756573,140.581024,,,,2.3113333333333332,2.1277419354838707,2.0047457627118646,1.9136666666666666,1.8485483870967743,1.8126666666666666,1.7106451612903226,1.4629032258064516,1.270344827586207,1.2070967741935485
会津坂下町 役場,37.561474,139.821701,,,,,,,0.13133333333333333,0.12548387096774194,0.12666666666666665,0.1164516129032258,0.10741935483870968,0.09655172413793105,0.1032258064516129
会津坂下町役場,37.561474,139.821701,0.42166666666666663,0.201,0.17483870967741935,0.17200000000000001,0.14096774193548386,0.13483870967741937,,,,,,,
会津美里町 役場高田支所,37.465164,139.834564,0.31833333333333336,0.164,0.1332258064516129,0.12533333333333332,0.12161290322580645,0.11548387096774194,0.10933333333333334,0.10774193548387097,0.10933333333333334,0.10129032258064516,0.08548387096774193,0.08068965517241379,0.0867741935483871
北塩原村 役場,37.655678,139.937637,0.435,0.217,0.17903225806451611,0.17300000000000001,0.16129032258064516,0.1525806451612903,0.14400000000000002,0.13903225806451613,0.13499999999999998,0.1267741935483871,0.11838709677419354,0.11413793103448276,0.1167741935483871
