name,lat,lon,2023_08_01,2023_08_02,2023_08_03,2023_08_04,2023_08_05,2023_08_06,2023_08_07,2023_08_08,2023_08_09,2023_08_10,2023_08_11,2023_08_12,2023_08_13,2023_08_14,2023_08_15,2023_08_16,2023_08_17,2023_08_18,2023_08_19,2023_08_20
p_37.010500_140.925300,37.0105,140.9253,0.07514489069649212,0.07416748768472907,0.07460429835651075,0.07449268046441192,0.07335046248715314,0.07357019491734518,0.07457888198757763,0.07416477702191988,0.07430615895732175,0.07282242063492064,0.07438649533887629,0.0754326676907322,0.07663836163836164,0.07395989974937343,0.07522972633693197,0.0746082136558327,0.07349427575908411,0.0739331086336531,0.07329611773661508,0.07317972350230416
p_37.105872_140.221162,37.105872,140.221162,,,,,,,,,,,,,0.10285714285714286,,,,,,,
p_37.105988_140.221548,37.105988,140.221548,,,,,,,,,,,,,0.1,,,,,,,
p_37.106022_140.219822,37.106022,140.219822,,,,,,,,,,,,,0.13714285714285715,,,,,,,
p_37.106030_140.220507,37.10603,140.220507,,,,,,,,,,,,,0.1,,,,,,,
p_37.106093_140.219547,37.106093,140.219547,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.106135_140.219435,37.106135,140.219435,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.106147_140.219882,37.106147,140.219882,,,,,,,,,,,,,0.13142857142857142,,,,,,,
p_37.106192_140.219867,37.106192,140.219867,,,,,,,,,,,,,0.13428571428571429,,,,,,,
p_37.106193_140.219883,37.106193,140.219883,,,,,,,,,,,,,0.09142857142857143,,,,,,,
p_37.106198_140.219873,37.106198,140.219873,,,,,,,,,,,,,0.13428571428571429,,,,,,,
p_37.106248_140.219653,37.106248,140.219653,,,,,,,,,,,,,0.13142857142857142,,,,,,,
p_37.106250_140.219355,37.10625,140.219355,,,,,,,,,,,,,0.12571428571428572,,,,,,,
p_37.106267_140.219348,37.106267,140.219348,,,,,,,,,,,,,0.08857142857142856,,,,,,,
p_37.106268_140.219348,37.106268,140.219348,,,,,,,,,,,,,0.09371428571428571,,,,,,,
p_37.106270_140.219347,37.10627,140.219347,,,,,,,,,,,,,0.1,,,,,,,
p_37.106270_140.219348,37.10627,140.219348,,,,,,,,,,,,,0.11142857142857143,,,,,,,
p_37.106290_140.219448,37.10629,140.219448,,,,,,,,,,,,,0.08571428571428572,,,,,,,
p_37.106385_140.219125,37.106385,140.219125,,,,,,,,,,,,,0.14285714285714285,,,,,,,
p_37.106443_140.221817,37.106443,140.221817,,,,,,,,,,,,,0.10857142857142857,,,,,,,
p_37.106582_140.218465,37.106582,140.218465,,,,,,,,,,,,,0.15428571428571428,,,,,,,
p_37.106758_140.217745,37.106758,140.217745,,,,,,,,,,,,,0.14857142857142858,,,,,,,
p_37.106840_140.217037,37.10684,140.217037,,,,,,,,,,,,,0.14,,,,,,,
p_37.106913_140.216402,37.106913,140.216402,,,,,,,,,,,,,0.14285714285714285,,,,,,,
p_37.107008_140.215988,37.107008,140.215988,,,,,,,,,,,,,0.15714285714285714,,,,,,,
p_37.107020_140.222132,37.10702,140.222132,,,,,,,,,,,,,0.11142857142857143,,,,,,,
p_37.107052_140.215783,37.107052,140.215783,,,,,,,,,,,,,0.12285714285714286,,,,,,,
p_37.107070_140.215935,37.10707,140.215935,,,,,,,,,,,,,0.1657142857142857,,,,,,,
p_37.107075_140.215942,37.107075,140.215942,,,,,,,,,,,,,0.1542857142857143,,,,,,,
p_37.107088_140.215938,37.107088,140.215938,,,,,,,,,,,,,0.16,,,,,,,
p_37.107137_140.215413,37.107137,140.215413,,,,,,,,,,,,,0.11428571428571428,,,,,,,
p_37.107145_140.216058,37.107145,140.216058,,,,,,,,,,,,,0.10285714285714286,,,,,,,
p_37.107162_140.216097,37.107162,140.216097,,,,,,,,,,,,,0.15714285714285714,,,,,,,
p_37.107245_140.216317,37.107245,140.216317,,,,,,,,,,,,,0.10285714285714286,,,,,,,
p_37.107298_140.214905,37.107298,140.214905,,,,,,,,,,,,,0.11714285714285715,,,,,,,
p_37.107315_140.216480,37.107315,140.21648,,,,,,,,,,,,,0.16285714285714287,,,,,,,
p_37.107367_140.218025,37.107367,140.218025,,,,,,,,,,,,,0.13142857142857142,,,,,,,
p_37.107368_140.218032,37.107368,140.218032,,,,,,,,,,,,,0.11714285714285715,,,,,,,
p_37.107373_140.216513,37.107373,140.216513,,,,,,,,,,,,,0.1,,,,,,,
p_37.107375_140.218030,37.107375,140.21803,,,,,,,,,,,,,0.11714285714285715,,,,,,,
p_37.107377_140.217892,37.107377,140.217892,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.107388_140.218007,37.107388,140.218007,,,,,,,,,,,,,0.12571428571428572,,,,,,,
